pair,method,seed,wall_minutes,train_gpu_minutes,mean_step_ms,samples_per_second,peak_memory_gib,started_at,finished_at,execution_mode,cuda_visible_devices,concurrent_on_same_gpu
qwen3_4b_to_bert_base,stella,43,23.14293111069128,22.20432491175334,332.29109225930426,385.0573512205433,9.298498153686523,2026-09-04T01:52:38.168538+00:00,2026-09-04T02:15:46.745122+00:00,parallel,3,False
qwen3_4b_to_bert_base,stella,44,20.23822921581256,19.4763876856486,291.49016200091904,438.9552187327182,9.301322937011719,2026-09-04T02:11:13.494147+00:00,2026-09-04T02:31:27.788651+00:00,parallel,2,False
qwen3_4b_to_bert_base,cdm,42,31.73758942009881,31.19297623392741,467.4355477316338,273.729990028505,9.295438766479492,2026-09-04T00:26:25.454416+00:00,2026-09-04T00:58:09.710474+00:00,parallel,2,False
qwen3_4b_to_bert_base,cdm,43,32.50523722235424,31.8759202931722,477.4303605999863,267.99956261422676,9.299741744995117,2026-09-04T00:44:05.241130+00:00,2026-09-04T01:16:35.556078+00:00,parallel,3,False
qwen3_4b_to_bert_base,cdm,44,31.535385421368606,30.98297840321859,463.9630113874164,275.77872519821995,9.293886184692383,2026-09-04T00:58:09.711245+00:00,2026-09-04T01:29:41.834832+00:00,parallel,2,False
qwen3_4b_to_bert_base,dskd,42,16.807361109678943,16.239583817799886,242.98662629856503,526.576831690858,9.439054489135742,2026-09-04T01:16:35.557321+00:00,2026-09-04T01:33:23.999666+00:00,parallel,3,False
qwen3_4b_to_bert_base,dskd,43,18.078933695858964,16.661056453704834,249.1660330789131,513.5175378380151,9.435453414916992,2026-09-04T01:29:41.835502+00:00,2026-09-04T01:47:46.572291+00:00,parallel,2,False
qwen3_4b_to_bert_base,dskd,44,19.236103202573336,18.285320707702635,273.690999165394,467.502140040151,9.462055206298828,2026-09-04T01:33:24.000672+00:00,2026-09-04T01:52:38.167555+00:00,parallel,3,False
qwen3_4b_to_bert_base,emo,42,333.21649238122626,332.4536591471354,4992.402554451313,25.629168806803328,9.320823669433594,2026-09-03T18:53:12.462941+00:00,2026-09-04T00:26:25.453259+00:00,parallel,2,False
qwen3_4b_to_bert_base,emo,43,340.8043495695417,339.99255621948237,5105.827094867295,25.059823891837926,9.307076454162598,2026-09-03T19:03:16.978422+00:00,2026-09-04T00:44:05.240118+00:00,parallel,3,False
qwen3_4b_to_bert_base,emo,44,243.86025633428557,242.95336217651368,3646.1233233535504,35.09237523591627,9.306259155273438,2026-09-03T23:29:29.928754+00:00,2026-09-04T03:33:21.544602+00:00,parallel,1,False
qwen3_4b_to_bert_base,talas,42,12.346726488290976,11.749638770039875,176.12040969733903,726.4980137136375,1.4409260749816895,2026-09-03T12:32:59.029987+00:00,2026-09-03T12:45:19.834060+00:00,parallel,1,True
qwen3_4b_to_bert_base,talas,43,12.281213154814516,11.666098555755616,174.82669471606872,731.8740883784986,1.471752643585205,2026-09-03T12:45:19.834829+00:00,2026-09-03T12:57:36.708095+00:00,parallel,1,True
qwen3_4b_to_bert_base,talas,44,12.115004106828321,11.454955161285401,171.5718667319544,745.7582076637661,1.4291634559631348,2026-09-03T12:57:36.709151+00:00,2026-09-03T13:09:43.609967+00:00,parallel,1,True
qwen3_4b_to_bert_base,geoode,42,4.460731904534623,3.0533089082717892,45.57749444488296,2807.331323890142,1.7212038040161133,2026-09-03T11:30:05.374635+00:00,2026-09-03T11:34:33.019548+00:00,parallel,1,True
qwen3_4b_to_bert_base,geoode,43,4.728781331997985,3.1720661124547322,47.45169601249217,2696.450044395976,1.7548952102661133,2026-09-03T11:41:03.678922+00:00,2026-09-03T11:45:47.406598+00:00,parallel,1,True
qwen3_4b_to_bert_base,geoode,44,4.288638793615004,2.8993291346867878,43.35046008308429,2951.551784555949,1.7207155227661133,2026-09-03T11:45:47.407775+00:00,2026-09-03T11:50:04.726903+00:00,parallel,1,True
